CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score
15514.0,34,7,2199.01,5,5,5,555
15861.0,34,8,3146.92,5,5,5,555
17365.0,34,8,4767.36,5,5,5,555
17231.0,34,9,2892.71,5,5,5,555
16407.0,34,10,2079.68,5,5,5,555
17769.0,34,10,3957.43,5,5,5,555
13571.0,34,12,2088.94,5,5,5,555
15555.0,34,13,3805.04,5,5,5,555
16923.0,34,18,6518.58,5,5,5,555
17068.0,34,19,4254.69,5,5,5,555
13758.0,33,5,2471.7,5,5,5,555
12906.0,33,5,2919.81,5,5,5,555
13590.0,33,6,1981.92,5,5,5,555
17739.0,33,6,2431.29,5,5,5,555
17924.0,33,6,2683.5,5,5,5,555
13081.0,33,9,25970.6,5,5,5,555
17419.0,33,10,3852.3,5,5,5,555
17651.0,33,10,3945.0,5,5,5,555
13266.0,33,12,3834.26,5,5,5,555
15601.0,33,12,5540.11,5,5,5,555
13418.0,33,13,4547.81,5,5,5,555
13004.0,33,17,5298.9,5,5,5,555
18041.0,33,18,3482.48,5,5,5,555
18229.0,33,18,6623.7,5,5,5,555
15838.0,33,18,32685.58,5,5,5,555
13883.0,32,5,2674.48,5,5,5,555
12670.0,32,5,2996.05,5,5,5,555
13198.0,32,5,3016.69,5,5,5,555
12451.0,32,5,9035.52,5,5,5,555
14209.0,32,6,2073.43,5,5,5,555
15755.0,32,6,2364.25,5,5,5,555
15089.0,32,6,2420.84,5,5,5,555
14408.0,32,7,2599.03,5,5,5,555
14388.0,32,7,2900.04,5,5,5,555
12727.0,32,7,3980.7,5,5,5,555
12627.0,32,7,4478.53,5,5,5,555
14961.0,32,7,5861.98,5,5,5,555
13137.0,32,8,3603.29,5,5,5,555
14390.0,32,8,4418.87,5,5,5,555
14701.0,32,9,2526.09,5,5,5,555
13014.0,32,10,3466.28,5,5,5,555
16549.0,32,10,4034.9,5,5,5,555
14711.0,32,11,2839.62,5,5,5,555
16818.0,32,11,3349.57,5,5,5,555
13999.0,32,11,3599.71,5,5,5,555
15218.0,32,11,5756.89,5,5,5,555
14866.0,32,11,14286.22,5,5,5,555
14088.0,32,13,50491.81,5,5,5,555
13576.0,32,17,6368.19,5,5,5,555
17306.0,32,18,8307.31,5,5,5,555
14667.0,32,20,7203.0,5,5,5,555
15615.0,32,20,9318.55,5,5,5,555
14180.0,32,21,3852.27,5,5,5,555
18118.0,32,24,5020.32,5,5,5,555
